kommunenr,kommune
0101,Halden
0104,Moss
0105,Sarpsborg
0106,Fredrikstad
0111,Hvaler
0118,Aremark
0119,Marker
0121,Rømskog
0122,Trøgstad
0123,Spydeberg
0124,Askim
0125,Eidsberg
0127,Skiptvet
0128,Rakkestad
0135,Råde
0136,Rygge
0137,Våler
0138,Hobøl
0211,Vestby
0213,Ski
0214,Ås
0215,Frogn
0216,Nesodden
0217,Oppegård
0219,Bærum
0220,Asker
0221,Aurskog-Høland
0226,Sørum
0227,Fet
0228,Rælingen
0229,Enebakk
0230,Lørenskog
0231,Skedsmo
0233,Nittedal
0234,Gjerdrum
0235,Ullensaker
0236,Nes
0237,Eidsvoll
0238,Nannestad
0239,Hurdal
0301,Oslo
0402,Kongsvinger
0403,Hamar
0412,Ringsaker
0415,Løten
0417,Stange
0418,Nord-Odal
0419,Sør-Odal
0420,Eidskog
0423,Grue
0425,Åsnes
0426,Våler
0427,Elverum
0428,Trysil
0429,Åmot
0430,Stor-Elvdal
0432,Rendalen
0434,Engerdal
0436,Tolga
0437,Tynset
0438,Alvdal
0439,Folldal
0441,Os
0501,Lillehammer
0502,Gjøvik
0511,Dovre
0512,Lesja
0513,Skjåk
0514,Lom
0515,Vågå
0516,Nord-Fron
0517,Sel
0519,Sør-Fron
0520,Ringebu
0521,Øyer
0522,Gausdal
0528,Østre Toten
0529,Vestre Toten
0532,Jevnaker
0533,Lunner
0534,Gran
0536,Søndre Land
0538,Nordre Land
0540,Sør-Aurdal
0541,Etnedal
0542,Nord-Aurdal
0543,Vestre Slidre
0544,Øystre Slidre
0545,Vang
0602,Drammen
0604,Kongsberg
0605,Ringerike
0612,Hole
0615,Flå
0616,Nes
0617,Gol
0618,Hemsedal
0619,Ål
0620,Hol
0621,Sigdal
